id,name,category,category_slug,city,city_slug,area,address,phone,email,website,pincode,rating,google_cid,active
a1-banquet-naraina-delhi-ncr,A1 banquet,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Naraina,"A-1, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028",9107834873747,,,110028,4.6,2247319571466510398,yes
majestic-crown-banquet-new-delhi-delhi-ncr,Majestic Crown Banquet,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,New Delhi,"24, Najafgarh Rd, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015",9107293027777,,http://bitly.ws/fLsW,110015,4.8,2305173342992996933,yes
the-maidens-crown-banquet-hall-peeragarhi-udyog-nagar-delhi-ncr,"The Maidens Crown Banquet Hall, Peeragarhi",Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Udyog Nagar,"B-1 Near Peera Garhi Metro Station Peeragarhi, Udyog Nagar, New Delhi, Delhi 110041",9108882500400,themaidenscrown@gmail.com,http://www.themaidenscrown.com/,110041,4.7,5977323592001625103,yes
royal-pepper-banquet-hall-tulip-wazirpur-ashok-vihar-delhi-ncr,Royal Pepper Banquet hall (Tulip): Wazirpur,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Ashok Vihar,"B-70, Wazirpur Industrial Area Rd, opp. shalimar bagh, Block B, Wazirpur, Ashok Vihar, Delhi, 110052",9108882500400,enquiry@royalpepperbanquets.com,http://www.royalpepperbanquets.com/wazirpur/,110052,4.6,4053177596313209741,yes
the-gracious-banquets-naraina-delhi-naraina-delhi-ncr,"The Gracious Banquets, Naraina, Delhi",Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Naraina,"A-25, Block B, Naraina Industrial Area Phase 2, Naraina, Delhi, 110028",9109911170065,,,110028,4.7,742777128120424763,yes
royal-pepper-banquet-hall-peeragarhi-new-delhi-delhi-ncr,Royal Pepper Banquet hall - Peeragarhi,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,New Delhi,"metro, Peeragarhi, E-1, Rohtak - Delhi Rd, near Peeragarhi, Udyog Nagar, industrial area, New Delhi, Delhi, 110041",9108882500400,enquiry@royalpepperbanquets.com,http://www.royalpepperbanquets.com/,110041,4.7,4494931103134455797,yes
precious-forever-banquet-hall-peeragarhi-mangolpuri-delhi-ncr,"Precious Forever Banquet Hall, Peeragarhi",Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Mangolpuri,"D, 9, Rohtak Rd, Udyog Nagar, Mangolpuri, Delhi, 110041",9108882500400,preciousforeverpeeragarhi@gmail.com,https://preciousforeverbanquet.com/,110041,4.7,16788155049158623102,yes
royal-pepper-banquet-hall-krish-wazirpur-ashok-vihar-delhi-ncr,Royal Pepper Banquet hall (Krish): Wazirpur,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Ashok Vihar,"C-94, Ring Rd, Block B, Poorbi Shalimar Bag, Ashok Vihar, Delhi, 110052",,,,110052,4.5,778513868315063752,yes
seven-seas-banquet-lawn-new-delhi-delhi-ncr,Seven Seas Banquet & Lawn,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,New Delhi,"Britania Chowk, B-28, Lawrence Rd, Dr Lohia Industrial Area, Indira Colony, Shakurpur, New Delhi, Delhi, 110035",9101147650070,intl-segmenter@11.7.10,http://www.sevenseasbanquet.com/,110035,4.2,3952335029906355404,yes
royal-pepper-banquet-hall-sector-10-rohini-rohini-delhi-ncr,"Royal Pepper Banquet hall - Sector 10, Rohini",Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Rohini,"2nd Floor, D-Mall, Pillar No. 434, near Rohini West Metro Station, Swarn Jayanti Park, Sector 10, Rohini, Delhi, 110085",9108882500400,enquiry@royalpepperbanquets.com,http://www.royalpepperbanquets.com/,110085,4.7,10504901905937127147,yes
the-florence-banquet-hall-najafgarh-rd-delhi-ncr,The Florence Banquet Hall,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Najafgarh Rd,"26 shivaji Marg, Najafgarh Rd, New Delhi, Delhi 110015",9109899712822,No Email found,https://www.instagram.com/theflorencebanquet/,110015,4.4,9359691521026142318,yes
grand-azalea-banquet-najafgarh-road-industrial-area-delhi-ncr,Grand Azalea Banquet,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Najafgarh Road Industrial Area,"36, Rama Rd, near Moti Nagar Chowk, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi 110015",9107290021421,,http://www.grandazalea.in/,110015,4.3,13862197872441402508,yes
mystique-banquet-najafgarh-road-industrial-area-delhi-ncr,Mystique banquet,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Najafgarh Road Industrial Area,"23, Shiva ji Marg, Rama Rd, near Sbi Bank, Najafgarh Road Industrial Area, New Delhi, Delhi 110015",9108800367500,,,110015,4.6,2699798803310636910,yes
dream-heritage-banquet-new-delhi-delhi-ncr,Dream Heritage Banquet,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,New Delhi,"882, E Park Rd, Block 57, Karol Bagh, New Delhi, Delhi, 110005",9107838674411,,,110005,4.3,17019994003967888025,yes
the-grandreams-luxury-venues-new-delhi-delhi-ncr,The Grandreams Luxury Venues,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,New Delhi,"J4JG+5QP, A-29,30, Satguru Ram Singh Rd, Phase -1, Mayapuri Industrial Area Phase I, Mayapuri, New Delhi, Delhi, 110064",9108130696969,No Email found,http://www.thegrandreams.com/,110064,4.4,594426997491602250,yes
saawariya-seth-tent-and-decorators-rohini-delhi-ncr,Saawariya Seth Tent And Decorators,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Rohini,"JAPANESE PARK, Sector 10, Rohini, Delhi, 110085",9108800230528,,,110085,4.9,6626842919738162027,yes
hotel-surya-grand-rajouri-garden-delhi-ncr,Hotel Surya Grand,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Rajouri Garden,"Community Centre, J-14, near MKW Hospital, Rajouri Garden, New Delhi, Delhi 110027",9108929229001,info@hotelsuryagrand.com,https://suryagrandhotel.in/,110027,4.7,10770899866454856588,yes
panchshila-rendezvous-banquets-malviya-nagar-delhi-ncr,Panchshila Rendezvous Banquets,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Malviya Nagar,"Panchshila Park, The Panchshila Rendezvous, T-540, 61/7, Panchshila Park, Block C, Panchsheel Park South, Malviya Nagar, New Delhi, Delhi 110017",9107982505167,thepanchshilarendezvousbanquet@gmail.com,https://tprbanquets.com/,110017,4.3,9221559129428238328,yes
the-ritz-moti-nagar-delhi-ncr,The Ritz,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Moti Nagar,"Plot No, Capital Greens 27, शिवाजी मार्ग, opposite DLF, Block C, Moti Nagar, New Delhi, Delhi 110015",,,,110015,4.2,1364087388582592566,yes
zion-banquet-new-delhi-delhi-ncr,Zion Banquet,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,New Delhi,"Plot No 9A, Najafgarh Rd, near Haldiram, Moti Nagar, Karampura Industrial Area, Moti Nagar, New Delhi, Delhi, 110015",9107428918881,,,110015,4.3,3787791830097987205,yes
the-heritage-grand-block-a2-delhi-ncr,The Heritage Grand,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Block A2,"B-12 B Block Britannia Chowk, Block A2, New Delhi, Delhi 110035",9108800029472,theheritagegrand@gmail.com,http://www.theheritagegrand.com/,110035,4.2,8875556667232052706,yes
the-mayfair-grand-sector-134-noida,The Mayfair Grand,Banquet Halls,banquet-halls,Noida,noida,Sector 134,"Wish Town Klassic, Jaypee Greens, PLOT NO P-5C, Sector 134, Noida, Uttar Pradesh 201304",9107979007979,intl-segmenter@11.7.10,https://www.themayfairgrand.com/,201304,4.4,14513968782295226297,yes
grand-utsav-banquet-rani-bagh-pitampura-delhi-ncr,Grand Utsav Banquet Rani bagh,Banquet Halls,banquet-halls,Delhi NCR,delhi-ncr,Pitampura,"Grand Utsav, Multani Mohalla, Rani Bagh, Pitampura, Delhi, 110034",9109811137441,,,110034,4.1,16092953980175219199,yes
